,id,created_at,text,rating,timestamp
2,994363623421153280,2018-05-09 23:48:56,"This is Louie. He has misplaced his Cheerio. Would love your help finding it. 14/10 of course, Louie https://t.co/p2aUdyoQU3",14.0,1525909736.0
7,993889039714578432,2018-05-08 16:23:07,This is Manny. He hasn’t seen your croissant. Not sure why you’re questioning him. 13/10 for the honest boy https://t.co/1yMDweSH9K,13.0,1525796587.0
8,993629544463642624,2018-05-07 23:11:58,"This is Libby. She leap. 14/10
(IG: libbythefluffycorgi) https://t.co/pSt9QBSYNw",14.0,1525734718.0
24,992198572664860672,2018-05-04 00:25:48,This is Rosie. She thought Coachella was this weekend. Bought a non-refundable flower crown and everything. 13/10 m… https://t.co/1bCfrWg2IS,13.0,1525393548.0
30,991744041351090177,2018-05-02 18:19:39,This is Riley. He’ll be your chauffeur this evening. Hopes you don’t mind if he drives with his shoulders. 13/10 wo… https://t.co/UMlVIfaqLW,13.0,1525285179.0
35,991399795892916224,2018-05-01 19:31:45,This is B-Mo. He has a heart on his butt and he loves bringing people rocks. 13/10 a generous and talented boy https://t.co/UXje05PSlj,13.0,1525203105.0
41,990987750601093120,2018-04-30 16:14:26,Say hello to Meatball. I’m told he actually loves flowers. That’s just how his face is. 13/10 utterly enchanting https://t.co/375peh8odP,13.0,1525104866.0
50,989657223084244992,2018-04-27 00:07:23,"This is Oakley. He picked you some flowers. Hopes they’re your favorite color. If not, he can try again. 14/10 they… https://t.co/oTWddg2972",14.0,1524787643.0
55,989300750152069120,2018-04-26 00:30:53,Meet Max. She pouts until someone holds her. A truly rebarkable strategy. 12/10 works every time https://t.co/EduDwIYScu,12.0,1524702653.0
59,989176681243070464,2018-04-25 16:17:53,This is Trout. He lives a life of luxury. Probably owns many leather-bound books. 13/10 for the proper pampered pup… https://t.co/6lZdzl02dj,13.0,1524673073.0
60,988932682615853057,2018-04-25 00:08:19,This is Kane. He’s on his way home for the first time after being adopted. Hasn’t stopped smiling since. 13/10 woul… https://t.co/s75X0U4pQE,13.0,1524614899.0
62,988573045076963328,2018-04-24 00:19:15,RT @dog_rates: This is Apollo. He knows he's h*ckin handsome. Stud status achieved. 12/10 would wink back https://t.co/QbEb0I1J9z,12.0,1524529155.0
65,988455306224128006,2018-04-23 16:31:24,This is Jackson. His favorite ice cream place just opened pup for the season. Should call it Scoops &amp; Boops. 12/10… https://t.co/rbFmDJQpiN,12.0,1524501084.0
66,988208849340510209,2018-04-23 00:12:04,"This is Gus. He was supposed to help his owner with their pupposal, but decided his nap takes priority. 13/10 will… https://t.co/xqz3ZU4xGk",13.0,1524442324.0
75,987398687562371072,2018-04-20 18:32:46,This is Rose. She conducted a very passionate zoom and tore her CCL. Not thrilled about it. Still 13/10. You can he… https://t.co/H74P0ZNCBg,13.0,1524249166.0
77,986762231290490881,2018-04-19 00:23:43,This is Kylo. He just had his very first checkpup. Good boy levels off the h*ckin charts. 13/10 would noggin pat https://t.co/rjdQ691x1e,13.0,1524097423.0
